MF;abpcode;scientificName;taxonRank;scientificName_GBIF;kingdom;phylum;class;order;family;genus;specificEpithet;infraspecificEpithet;scientificNameAuthorship;establishmentMeans;Ind.NonInd;trophic
56;A01166;Forficula auricularia Linnaeus, 1758;species;Forficula auricularia Linnaeus, 1758;Animalia;Arthropoda;Insecta;Dermaptera;Forficulidae;Forficula;auricularia;NA;Linnaeus, 1758;I;NonInd;P
57;A02557;Atheta aeneicollis (Sharp, 1869);species;Atheta aeneicollis (Sharp, 1869);Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;Atheta;aeneicollis;NA;(Sharp, 1869);Indeterminate;Indeterminate;P
58;NA;Coccidae sp.;family;NA;Animalia;Arthropoda;Insecta;Hemiptera;Coccidae;Gen.;sp.;NA;NA;I;NonInd;H
59;A01145;Zetha simonyi (Krauss, 1892);species;Zetha simonyi (Krauss, 1892);Animalia;Arthropoda;Insecta;Blattodea;Corydiidae;Zetha;simonyi;NA;(Krauss, 1892);N;Ind;S
60;A01559;Rhopalosiphoninus latysiphon (Davidson, 1912);species;Rhopalosiphoninus latysiphon (Davidson, 1912);Animalia;Arthropoda;Insecta;Hemiptera;Aphididae;Rhopalosiphoninus;latysiphon;NA;(Davidson, 1912);I;NonInd;H
61;A00309;Epuraea biguttata (Thunberg, 1784);species;Epuraea biguttata (Thunberg, 1784);Animalia;Arthropoda;Insecta;Coleoptera;Nitidulidae;Epuraea;biguttata;NA;(Thunberg, 1784);I;NonInd;S
62;A01003;Brachyiulus pusillus (Leach, 1814);species;Brachyiulus pusillus (Leach, 1814);Animalia;Arthropoda;Diplopoda;Julida;Julidae;Brachyiulus;pusillus;NA;(Leach, 1814);I;NonInd;S
64;A00398;Tarphius serranoi Borges, 1991;species;Tarphius serranoi Borges, 1991;Animalia;Arthropoda;Insecta;Coleoptera;Zopheridae;Tarphius;serranoi;NA;Borges, 1991;E;Ind;F
65;A00379;Sericoderus lateralis (Gyllenhal, 1827);species;Sericoderus lateralis (Gyllenhal, 1827);Animalia;Arthropoda;Insecta;Coleoptera;Corylophidae;Sericoderus;lateralis;NA;(Gyllenhal, 1827);I;NonInd;P
66;A00197;Amischa analis (Gravenhorst, 1802);species;Amischa analis (Gravenhorst, 1802);Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;Amischa;analis;NA;(Gravenhorst, 1802);Indeterminate;Indeterminate;P
68;A00158;Sepedophilus lusitanicus Hammond, 1973;species;Sepedophilus lusitanicus Hammond, 1973;Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;Sepedophilus;lusitanicus;NA;Hammond, 1973;Indeterminate;Indeterminate;P
69;A00348;Stilbus testaceus (Panzer, 1797);species;Stilbus testaceus (Panzer, 1797);Animalia;Arthropoda;Insecta;Coleoptera;Phalacridae;Stilbus;testaceus;NA;(Panzer, 1797);N;Ind;S
70;A00397;Tarphius pomboi Borges, 1991;species;Tarphius pomboi Borges, 1991;Animalia;Arthropoda;Insecta;Coleoptera;Zopheridae;Tarphius;pomboi;NA;Borges, 1991;E;Ind;F
71;A00989;Oxidus gracilis (C.L. Koch, 1847);species;Oxidus gracilis (C.L.Koch, 1847);Animalia;Arthropoda;Diplopoda;Polydesmida;Paradoxosomatidae;Oxidus;gracilis;NA;(C.L. Koch, 1847);I;NonInd;S
72;A00079;Ptenidium pusillum (Gyllenhal, 1808);species;Ptenidium pusillum (Gyllenhal, 1808);Animalia;Arthropoda;Insecta;Coleoptera;Ptiliidae;Ptenidium;pusillum;NA;(Gyllenhal, 1808);I;NonInd;S
73;A00386;Metophthalmus occidentalis Israelson, 1984;species;Metophthalmus occidentalis Israelson, 1984;Animalia;Arthropoda;Insecta;Coleoptera;Latridiidae;Metophthalmus;occidentalis;NA;Israelson, 1984;E;Ind;S
74;A00045;Pseudoophonus rufipes (De Geer, 1774);species;Harpalus rufipes (DeGeer, 1774);Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Pseudoophonus;rufipes;NA;(De Geer, 1774);I;NonInd;P/H
76;A00395;Tarphius rufonodulosus Israelson, 1984;species;Tarphius rufonodulosus Israelson, 1984;Animalia;Arthropoda;Insecta;Coleoptera;Zopheridae;Tarphius;rufonodulosus;NA;Israelson, 1984;E;Ind;F
77;A00496;Pseudechinosoma nodosum Hustache, 1936;species;Pseudechinosoma nodosum Hustache, 1936;Animalia;Arthropoda;Insecta;Coleoptera;Curculionidae;Pseudechinosoma;nodosum;NA;Hustache, 1936;E;Ind;H
78;A00431;Anaspis proteus Wollaston, 1854;species;Anaspis proteus Wollaston, 1854;Animalia;Arthropoda;Insecta;Coleoptera;Scraptiidae;Anaspis;proteus;NA;Wollaston, 1854;N;Ind;H
79;A00151;Quedius curtipennis Bernhauer, 1908;species;Quedius curtipennis Bernhauer, 1908;Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;Quedius;curtipennis;NA;Bernhauer, 1908;Indeterminate;Indeterminate;P
81;NA;Aphis sp.;genus;NA;Animalia;Arthropoda;Insecta;Hemiptera;Aphididae;Aphis;sp.;NA;NA;Indeterminate;Indeterminate;H
82;A00095;Proteinus atomarius Erichson, 1840;species;Proteinus atomarius Erichson, 1840;Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;Proteinus;atomarius;NA;Erichson, 1840;Indeterminate;Indeterminate;P
83;A01356;Plinthisus brevipennis (Latreille, 1807);species;Plinthisus brevipennis (Latreille, 1807);Animalia;Arthropoda;Insecta;Hemiptera;Rhyparochromidae;Plinthisus;brevipennis;NA;(Latreille, 1807);N;Ind;H
84;A00220;Catops velhocabrali Blas & Borges, 1999;species;Catops velhocabrali Blas & Borges, 2000;Animalia;Arthropoda;Insecta;Coleoptera;Leiodidae;Catops;velhocabrali;NA;Blas & Borges, 1999;E;Ind;S
85;A00396;Tarphius depressus Gillerfors, 1985;species;Tarphius depressus Gillerfors, 1985;Animalia;Arthropoda;Insecta;Coleoptera;Zopheridae;Tarphius;depressus;NA;Gillerfors, 1985;E;Ind;F
86;NA;Phloeonomus sp.;genus;NA;Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;Phloeonomus;sp.;NA;NA;I;NonInd;P
87;A00172;Aloconota sulcifrons (Stephens, 1832);species;Aloconota sulcifrons (Stephens, 1832);Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;Aloconota;sulcifrons;NA;(Stephens, 1832);Indeterminate;Indeterminate;P
88;A00146;Ocypus olens (Müller, 1764);species;Ocypus olens (O.F.Müller, 1764);Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;Ocypus;olens;NA;(Müller, 1764);Indeterminate;Indeterminate;P
89;A00159;Tachyporus nitidulus (Fabricius, 1781);species;Tachyporus nitidulus (Fabricius, 1781);Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;Tachyporus;nitidulus;NA;(Fabricius, 1781);Indeterminate;Indeterminate;P
90;A01685;Cyclophora azorensis (Prout, 1920);species;Cyclophora azorensis (Prout, 1920);Animalia;Arthropoda;Insecta;Lepidoptera;Geometridae;Cyclophora;azorensis;NA;(Prout, 1920);E;Ind;H
