"Event_ID","Placement","Sampling.Date","Season","Year","Notes","Sorting.Status.Order","Sorting.Status.Morphospecies","Location.of.the.sample"
"TER-NFSB-TE48_9_2019","2019-06-06","2019-09-07","summer","2019","NA","Sorted","Sorted","Entomoteca"
"TER-NFBF-T-01_9_2019","2019-06-07","2019-09-07","summer","2019","NA","Sorted","Sorted","Entomoteca"
"PIC-ML-200_9_2019","2019-06-14","2019-09-12","summer","2019","NA","Sorted","Sorted","Lab Rui Elias"
"PIC-ML-400_9_2019","2019-06-14","2019-09-12","summer","2019","NA","Sorted","Sorted","Lab Rui Elias"
"PIC-ML-600_9_2019","2019-06-14","2019-09-12","summer","2019","NA","Sorted","Sorted","Lab Rui Elias"
"PIC-ML-800_9_2019","2019-06-14","2019-09-12","summer","2019","NA","Sorted","Sorted","Lab Rui Elias"
"PIC-NFCA-T-09_9_2019","2019-06-14","2019-09-12","summer","2019","NA","Sorted","Sorted","Lab Rui Elias"
"PIC-NFLC-T-02_9_2019","2019-06-14","2019-09-12","summer","2019","NA","Sorted","Sorted","Lab Rui Elias"
"PIC-NFMP-T-03_9_2019","2019-06-14","2019-09-12","summer","2019","NA","Sorted","Sorted","Lab Rui Elias"
"SMR-NFPA-T-01_7_2019","2019-06-14","2019-07-14","monthly study","2019","NA","Not sorted","Not sorted","Lab Rui Elias"
"TER-NFBF-T-02_9_2019","2019-06-17","2019-09-25","summer","2019","NA","Sorted","Sorted","Entomoteca"
"TER-NFSB-T-07_9_2019","2019-06-18","2019-09-26","summer","2019","NA","Sorted","Sorted","Entomoteca"
"TER-NFPG-T-33_9_2019","2019-06-22","2019-09-25","summer","2019","NA","Sorted","Sorted","Entomoteca"
"TER-NFPG-T-33-B_9_2019","2019-06-22","2019-09-25","summer","2019","NA","Sorted","Sorted","Entomoteca"
"TER-NFTB-T-15_9_2019","2019-06-22","2019-09-24","summer","2019","NA","Sorted","Sorted","Entomoteca"
"GRA-CALG-Z-08_7_2019","2019-06-26","2019-07-26","monthly study","2019","NA","Not sorted","Not sorted","Lab Rui Elias"
"GRA-CALN-T-01_7_2019","2019-06-26","2019-07-26","monthly study","2019","NA","Not sorted","Not sorted","Lab Rui Elias"
"TER-NFBF-TP41_9_2019","2019-06-27","2019-09-24","summer","2019","NA","Sorted","Sorted","Entomoteca"
"TER-NFSB-T164_9_2019","2019-06-27","2019-09-27","summer","2019","NA","Not available","Not available","NA"
"TER-NFSB-TE49_9_2019","2019-06-27","2019-09-27","summer","2019","NA","Sorted","Sorted","Entomoteca"
"TER-NFTB-T-18-ORIGINAL_9_2019","2019-06-27","2019-09-24","summer","2019","NA","Sorted","Sorted","Entomoteca"
"SMR-NFPA-T-01_8_2019","2019-07-14","2019-08-14","monthly study","2019","not found","Not sorted","Not sorted","Lab Rui Elias"
"GRA-CALG-Z-08_8_2019","2019-07-26","2019-08-26","monthly study","2019","NA","Not sorted","Not sorted","Lab Rui Elias"
"GRA-CALN-T-01_8_2019","2019-07-26","2019-08-26","monthly study","2019","NA","Not sorted","Not sorted","Lab Rui Elias"
"SMR-NFPA-T-01_9_2019","2019-08-14","2019-09-14","monthly study","2019","FIN","Not sorted","Not sorted","Lab Rui Elias"
"GRA-CALG-Z-08_9_2019","2019-08-26","2019-09-26","monthly study","2019","2 tubos","Not sorted","Not sorted","Lab Rui Elias"
"GRA-CALN-T-01_9_2019","2019-08-26","2019-09-26","monthly study","2019","NA","Not sorted","Not sorted","Lab Rui Elias"
"TER-0M_12_2019","2019-09-07","2019-12-11","autumn","2019","NA","Sorted","Sorted","Entomoteca"
"TER-200M_12_2019","2019-09-07","2019-12-11","autumn","2019","NA","Sorted","Sorted","Entomoteca"
"TER-400M_12_2019","2019-09-07","2019-12-11","autumn","2019","NA","Sorted","Sorted","Entomoteca"
"TER-NFBF-T-01_1_2020","2019-09-07","2020-01-04","autumn","2019","NA","Sorted","Sorted","Entomoteca"
"TER-NFSB-TE48_12_2019","2019-09-07","2019-12-11","autumn","2019","NA","Sorted","Sorted","Entomoteca"
"PIC-ML-200_12_2019","2019-09-12","2019-12-11","autumn","2019","NA","Sorted","Sorted","Lab Rui Elias"
"PIC-ML-400_12_2019","2019-09-12","2019-12-11","autumn","2019","No sample","Invalid","Invalid","Lab Rui Elias"
"PIC-ML-600_12_2019","2019-09-12","2019-12-11","autumn","2019","invalid","Invalid","Invalid","NA"
"PIC-ML-800_12_2019","2019-09-12","2019-12-11","autumn","2019","NA","Sorted","Sorted","Lab Rui Elias"
"PIC-NFCA-T-09_12_2019","2019-09-12","2019-12-11","autumn","2019","NA","Sorted","Sorted","Lab Rui Elias"
"PIC-NFLC-T-02_12_2019","2019-09-12","2019-12-11","autumn","2019","NA","Sorted","Sorted","Lab Rui Elias"
"PIC-NFMP-T-03_12_2019","2019-09-12","2019-12-11","autumn","2019","NA","Sorted","Sorted","Lab Rui Elias"
"SMR-PRIBS-T01_12_2019","2019-09-16","2019-12-17","autumn","2019","NA","Sorted","Sorted","Lab PB"
"SMR-PRIBS-T02_12_2019","2019-09-16","2019-12-17","autumn","2019","NA","Sorted","Sorted","Lab PB"
"SMR-NFPA-T-01 (SMR-PRIBS-T09)_12_2019","2019-09-18","2019-12-17","autumn","2019","NA","Sorted","Sorted","Lab PB"
"SMR-PRIBS-T03_12_2019","2019-09-18","2019-12-17","autumn","2019","NA","Sorted","Sorted","Lab PB"
"SMR-PRIBS-T04_12_2019","2019-09-18","2019-12-17","autumn","2019","NA","Sorted","Sorted","Lab PB"
"SMR-PRIBS-T05_12_2019","2019-09-18","2019-12-17","autumn","2019","NA","Sorted","Sorted","Lab PB"
"SMR-PRIBS-T06_12_2019","2019-09-18","2019-12-17","autumn","2019","NA","Sorted","Sorted","Lab PB"
"SMR-PRIBS-T07_12_2019","2019-09-18","2019-12-17","autumn","2019","NA","Sorted","Sorted","Lab PB"
"SMR-PRIBS-T08_12_2019","2019-09-18","2019-12-17","autumn","2019","NA","Sorted","Sorted","Lab PB"
"SMR-PRIBS-T10_12_2019","2019-09-18","2019-12-17","autumn","2019","NA","Sorted","Sorted","Lab PB"
"TER-CABI-T166 (TER-PRIBS-T06)_1_2020","2019-09-21","2020-01-13","autumn","2019","NA","Not sorted","Not sorted","Lab David Horta"
"TER-MATE-T-13 (TER-PRIBS-T01)_1_2020","2019-09-21","2020-01-02","autumn","2019","NA","Not sorted","Not sorted","Lab David Horta"
"TER-MNEG-T-62 (TER-PRIBS-T05)_1_2020","2019-09-21","2020-01-02","autumn","2019","NA","Not sorted","Not sorted","Lab David Horta"
"TER-PRIBS-T02_12_2019","2019-09-21","2019-12-20","autumn","2019","NA","Not sorted","Not sorted","Lab David Horta"
"TER-PRIBS-T07_1_2020","2019-09-21","2020-01-18","autumn","2019","NA","Not sorted","Not sorted","Lab David Horta"
"TER-PRIBS-T04_1_2020","2019-09-23","2020-01-04","autumn","2019","NA","Not sorted","Not sorted","Lab David Horta"
"TER-ACAR-T-25 (TER-PRIBS-T10)_12_2019","2019-09-24","2019-12-16","autumn","2019","NA","Not sorted","Not sorted","Lab David Horta"
"TER-FTER-T-36 (TER-PRIBS-T09)_1_2020","2019-09-24","2020-01-19","autumn","2019","NA","Not sorted","Not sorted","Lab David Horta"
"TER-NFBF-TP41_1_2020","2019-09-24","2020-01-03","autumn","2019","NA","Sorted","Sorted","Entomoteca"
"TER-NFTB-T-15_12_2019","2019-09-24","2019-12-16","autumn","2019","NA","Sorted","Sorted","Entomoteca"
"TER-NFTB-T-18-ORIGINAL_12_2019","2019-09-24","2019-12-16","autumn","2019","NA","Sorted","Sorted","Entomoteca"
"TER-NFBF-T-02_1_2020","2019-09-25","2020-01-13","autumn","2019","NA","Sorted","Sorted","Entomoteca"
"TER-NFPG-T-33_1_2020","2019-09-25","2020-01-13","autumn","2019","NA","Sorted","Sorted","Entomoteca"
"TER-PRIBS-T08_1_2020","2019-09-25","2020-01-19","autumn","2019","NA","Not sorted","Not sorted","Lab David Horta"
"TER-PRIBS-T11_3_2020","2019-09-25","2020-03-22","autumn/winter","2019/2020","NA","Not sorted","Not sorted","Lab David Horta"
"TER-PRIBS-T12_3_2020","2019-09-25","2020-03-22","autumn/winter","2019/2020","NA","Not sorted","Not sorted","Lab David Horta"
"GRA-CALG-Z-08_10_2019","2019-09-26","2019-10-26","monthly study","2019","NA","Not sorted","Not sorted","Lab Rui Elias"
"SMR-PRIBS-T11_12_2019","2019-09-26","2019-12-17","autumn","2019","NA","Sorted","Sorted","Lab PB"
"SMR-PRIBS-T12_12_2019","2019-09-26","2019-12-17","autumn","2019","NA","Sorted","Sorted","Lab PB"
"TER-NFSB-T-07_1_2020","2019-09-26","2020-01-13","autumn","2019","NA","Sorted","Sorted","Entomoteca"
